#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1619304328    92       92   308289       39152762      0  10 92.0 308289.0 39152762.0 313222096.0 214.0 214.0 
1619304329    92       92   731353       92881890      0  10 0.0 423064.0 53729128.0 429833024.0 217.4 217.4 
1619304330    92       92  1155087      146696108      0  10 0.0 423734.0 53814218.0 430513744.0 217.1 217.1 
1619304331   230      230  1916161      243352622      0  20 138.0 761074.0 96656514.0 773252112.0 230.6 230.6 
1619304332   230      230  2946070      374151192      0  20 0.0 1029909.0 130798570.0 1046388560.0 223.3 223.3 
1619304333   230      230  3973965      504693730      0  20 0.0 1027895.0 130542538.0 1044340304.0 223.7 223.7 
1619304334   322      322  5213288      662087878      0  30 92.0 1239323.0 157394148.0 1259153184.0 233.0 233.0 
1619304335   322      322  6567458      834067341      0  30 0.0 1352817.2 171807655.3 1374461242.8 237.8 237.8 
1619304336   322      322  7923513     1006286326      0  30 0.0 1356055.0 172218985.0 1377751880.0 237.4 237.4 
1619304337   460      460  9506715     1207352980      0  40 137.9 1581620.4 200865788.2 1606926305.7 261.4 261.4 
1619304338   460      460 11212717     1424015361      0  40 0.0 1706002.0 216662381.0 1733299048.0 269.6 269.6 
1619304339   460      460 12927797     1641830394      0  40 0.0 1713366.6 217597435.6 1740779484.5 268.2 268.2 
1619304340   598      598 14746656     1872825528      0  50 138.0 1818859.0 230995134.0 1847961072.0 294.7 294.7 
1619304341   598      598 16686683     2119208957      0  50 0.0 1940027.0 246383429.0 1971067432.0 308.2 308.2 
1619304342   598      598 18636494     2366835081      0  50 0.0 1947863.1 247378745.3 1979029962.0 306.7 306.7 
1619304343   690      690 20621691     2618954973      0  60 92.0 1985197.0 252119892.0 2016959136.0 328.0 328.0 
1619304344   690      690 22662017     2878076502      0  60 0.0 2038287.7 258862666.3 2070901330.7 338.2 338.2 
1619304345   690      690 24712232     3138453680      0  60 0.0 2050215.0 260377178.0 2083017424.0 336.5 336.5 
1619304346   828      828 26800961     3403722263      0  70 137.9 2086642.4 265003579.4 2120028635.4 370.3 370.3 
1619304347   828      828 28922864     3673203944      0  70 0.0 2119783.2 269212468.5 2153699748.3 390.2 390.2 
1619304348   828      828 31025277     3940210395      0  70 0.0 2102413.0 267006451.0 2136051608.0 393.8 393.8 
1619304349   920      920 33172623     4212923337      0  80 91.9 2145200.8 272440501.5 2179524012.0 413.0 413.0 
1619304350   920      920 35356638     4490293242      0  80 0.0 2181833.2 277092812.2 2216742497.5 421.2 421.2 
1619304351   920      920 37537405     4767250651      0  80 0.0 2180767.0 276957409.0 2215659272.0 421.8 421.8 
1619304352  1058     1058 39721886     5044679738      0  90 137.9 2182298.7 277151935.1 2217215480.5 463.2 463.2 
1619304353  1058     1058 41925000     5324475216      0  90 0.0 2200913.1 279515962.0 2236127696.3 480.3 480.3 
1619304354  1058     1058 44117240     5602889696      0  90 0.0 2192240.0 278414480.0 2227315840.0 482.6 482.6 
1619304355  1196     1196 46259800     5874995167      0 100 137.9 2140419.6 271833637.4 2174669098.9 529.5 529.5 
1619304356  1196     1196 48485997     6157722313      0 100 0.0 2223973.0 282444701.3 2259557610.4 537.3 537.3 
1619304357  1196     1196 50704568     6439480830      0 100 0.0 2216354.6 281477040.0 2251816319.7 539.1 539.1 
1619304358  1196     1196 52934892     6722731851      0 100 0.0 2228095.9 282968052.9 2263744423.6 536.3 536.3 
1619304359  1196     1196 55158246     7005097809      0 100 0.0 2221132.9 282083874.1 2256670993.0 538.0 538.0 
1619304360  1196     1196 57373924     7286488915      0 100 0.0 2213464.5 281109996.0 2248879968.0 539.8 539.8 
1619304361  1196     1196 59586305     7567461302      0 100 0.0 2210170.8 280691695.3 2245533562.4 540.6 540.6 
1619304362  1196     1196 61800543     7848669655      0 100 0.0 2214238.0 281208353.0 2249666824.0 539.6 539.6 
1619304363  1196     1196 64024806     8131151056      0 100 0.0 2222041.0 282199201.8 2257593614.4 537.7 537.7 
1619304364  1196     1196 66250649     8413832990      0 100 0.0 2223619.4 282399534.5 2259196275.7 537.4 537.4 
1619304365  1196     1196 68487866     8697959549      0 100 0.0 2234982.0 283842716.3 2270741730.3 534.6 534.6 
1619304366  1196     1196 70733574     8983164465      0 100 0.0 2243464.5 284919996.0 2279359968.0 532.6 532.6 
1619304367  1196     1196 72990699     9269819340      0 100 0.0 2254870.1 286368506.5 2290948051.9 529.9 529.9 
1619304368  1196     1196 75247747     9556464563      0 100 0.0 2254793.2 286358864.1 2290870913.1 530.0 530.0 
1619304369  1196     1196 77508759     9843613087      0 100 0.0 2258753.2 286861662.3 2294893298.7 529.0 529.0 
1619304370  1196     1196 79758100    10129279394      0 100 0.0 2247093.9 285380926.1 2283047408.6 531.8 531.8 
1619304371  1196     1196 82006849    10414870390      0 100 0.0 2246502.5 285305690.3 2282445522.5 531.9 531.9 
1619304372  1196     1196 84266378    10701830573      0 100 0.0 2257271.7 286673509.5 2293388075.9 529.4 529.4 
1619304373  1196     1196 86508094    10986528632      0 100 0.0 2239476.5 284413645.4 2275309162.8 533.5 533.5 
1619304374  1196     1196 88748184    11271020316      0 100 0.0 2240090.0 284491684.0 2275933472.0 533.4 533.4 
1619304375  1196     1196 90989383    11555652335      0 100 0.0 2238960.0 284347671.3 2274781370.6 533.7 533.7 
1619304376  1196     1196 93231668    11840422403      0 100 0.0 2240045.0 284485582.4 2275884659.3 533.4 533.4 
1619304377  1196     1196 95471838    12124924120      0 100 0.0 2237932.1 284217499.5 2273739996.0 533.9 533.9 
1619304378  1196     1196 97699295    12407811032      0 100 0.0 2225231.8 282604307.7 2260834461.5 537.0 537.0 
1619304379  1196     1196 99929292    12691020651      0 100 0.0 2227769.2 282926692.3 2263413538.5 536.4 536.4 
1619304380  1196     1196 102163173    12974723538      0 100 0.0 2231649.4 283419467.5 2267355740.3 535.4 535.4 
1619304381  1196     1196 104397482    13258480908      0 100 0.0 2232076.9 283473896.1 2267791168.8 535.3 535.3 
1619304382  1196     1196 106631429    13542192304      0 100 0.0 2231715.3 283427968.0 2267423744.3 535.4 535.4 
1619304383  1196     1196 108860949    13825341090      0 100 0.0 2227292.7 282865920.1 2262927360.6 536.5 536.5 
1619304384  1196     1196 111091830    14108662977      0 100 0.0 2228652.3 283038848.2 2264310785.2 536.1 536.1 
1619304385  1196     1196 113325966    14392398376      0 100 0.0 2231904.1 283451947.1 2267615576.4 535.4 535.4 
1619304386  1196     1196 115553634    14675312339      0 100 0.0 2227668.0 282913963.0 2263311704.0 536.4 536.4 
1619304387  1196     1196 117784082    14958579108      0 100 0.0 2228219.8 282983785.2 2263870281.7 536.3 536.3 
1619304388  1196     1196 120009716    15241234626      0 100 0.0 2223410.6 282373144.9 2258985158.8 537.4 537.4 
1619304389  1196     1196 122236338    15524015620      0 100 0.0 2224397.6 282498495.5 2259987964.0 537.2 537.2 
1619304390  1196     1196 124456261    15805945714      0 100 0.0 2217705.3 281648445.6 2253187564.4 538.8 538.8 
1619304391  1196     1196 126667880    16086821581      0 100 0.0 2209409.6 280595271.7 2244762173.8 540.8 540.8 
1619304392  1196     1196 128878007    16367507456      0 100 0.0 2207919.1 280405469.5 2243243756.2 541.2 541.2 
1619304393  1196     1196 131096764    16649289595      0 100 0.0 2216540.5 281500638.4 2252005106.9 539.1 539.1 
1619304394  1196     1196 133318359    16931432287      0 100 0.0 2219375.6 281860831.2 2254886649.4 538.4 538.4 
1619304395  1196     1196 135535681    17213032308      0 100 0.0 2215106.9 281318702.3 2250549618.4 539.4 539.4 
1619304396  1196     1196 137755275    17494920492      0 100 0.0 2217376.6 281606577.4 2252852619.4 538.9 538.9 
1619304397  1196     1196 139971092    17776329378      0 100 0.0 2213603.4 281127758.2 2249022065.9 539.8 539.8 
1619304398  1196     1196 142182680    18057200927      0 100 0.0 2211588.0 280871549.0 2246972392.0 540.3 540.3 
1619304399  1196     1196 144393335    18337954112      0 100 0.0 2208446.6 280472712.3 2243781698.3 541.1 541.1 
1619304400  1196     1196 146604981    18618833154      0 100 0.0 2209436.6 280598443.6 2244787548.5 540.8 540.8 
1619304401  1196     1196 148815000    18899505567      0 100 0.0 2207811.2 280392021.0 2243136167.8 541.2 541.2 
1619304402  1196     1196 151021479    19179728400      0 100 0.0 2204274.7 279942890.1 2239543120.9 542.1 542.1 
1619304403  1196     1196 153233214    19460618872      0 100 0.0 2209525.5 280609862.1 2244878897.1 540.8 540.8 
1619304404  1196     1196 155444623    19741467688      0 100 0.0 2209199.8 280568247.8 2244545982.0 540.9 540.9 
1619304405  1196     1196 157649736    20021517293      0 100 0.0 2202910.1 279769835.2 2238158681.3 542.4 542.4 
1619304406  1196     1196 159860147    20302239236      0 100 0.0 2208202.8 280441501.5 2243532012.0 541.1 541.1 
1619304407  1196     1196 162071257    20583050206      0 100 0.0 2208901.1 280530439.6 2244243516.5 540.9 540.9 
1619304408  1196     1196 164280843    20863667628      0 100 0.0 2207378.6 280337084.9 2242696679.3 541.3 541.3 
1619304409  1196     1196 166492479    21144545400      0 100 0.0 2209426.6 280597174.8 2244777398.6 540.8 540.8 
1619304410  1196     1196 168702178    21425177173      0 100 0.0 2209699.0 280631773.0 2245054184.0 540.7 540.7 
1619304411  1196     1196 170913521    21706017861      0 100 0.0 2209133.9 280560127.9 2244481023.0 540.9 540.9 
1619304412  1196     1196 173123457    21986679733      0 100 0.0 2207728.3 280381490.5 2243051924.1 541.3 541.3 
1619304413  1196     1196 175333782    22267390881      0 100 0.0 2208116.9 280430717.3 2243445738.3 541.1 541.1 
1619304414  1196     1196 177543129    22547977950      0 100 0.0 2207139.9 280306762.2 2242454097.9 541.4 541.4 
1619304415  1196     1196 179754057    22828765933      0 100 0.0 2208719.3 280507475.5 2244059804.2 541.0 541.0 
1619304416  1196     1196 181964328    23109470350      0 100 0.0 2208062.9 280423993.0 2243391944.1 541.2 541.2 
1619304417  1196     1196 184175794    23390326405      0 100 0.0 2209256.7 280575479.5 2244603836.2 540.9 540.9 
1619304418  1196     1196 186380764    23670357849      0 100 0.0 2202767.2 279751692.3 2238013538.5 542.5 542.5 
1619304419  1196     1196 188584025    23950171742      0 100 0.0 2201059.9 279534358.6 2236274869.1 542.9 542.9 
