#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1619304327     1        1        2            252      0  10 1.0 2.0 252.0 2016.0 80.5 80.5 
1619304328    12       12      199          25262      0  10 11.0 196.8 24985.0 199880.1 93.6 93.6 
1619304329    12       12      301          38318      0  10 0.0 102.0 13056.0 104448.0 98.5 98.5 
1619304330    25       25      518          65944      0  20 13.0 217.0 27626.0 221008.0 109.8 109.8 
1619304331    25       25      709          90392      0  20 0.0 190.8 24423.6 195388.6 118.4 118.4 
1619304332    25       25      910         116120      0  20 0.0 201.0 25728.0 205824.0 109.4 109.4 
1619304333    38       38     1225         156283      0  30 13.0 315.0 40163.0 321304.0 123.2 123.2 
1619304334    38       38     1515         193403      0  30 0.0 289.7 37082.9 296663.3 115.4 115.4 
1619304335    38       38     1817         232057      0  30 0.0 302.0 38654.0 309232.0 115.3 115.3 
1619304336    51       51     2233         285205      0  40 13.0 416.0 53148.0 425184.0 124.9 124.9 
1619304337    51       51     2622         334997      0  40 0.0 388.6 49742.3 397938.1 131.9 131.9 
1619304338    51       51     3023         386325      0  40 0.0 401.0 51328.0 410624.0 133.7 133.7 
1619304339    64       64     3539         452296      0  50 13.0 516.0 65971.0 527768.0 134.0 134.0 
1619304340    64       64     4028         514888      0  50 0.0 488.5 62529.5 500235.8 139.7 139.7 
1619304341    64       64     4530         579144      0  50 0.0 502.0 64256.0 514048.0 136.6 136.6 
1619304342    76       76     5144         657699      0  60 12.0 614.0 78555.0 628440.0 154.4 154.4 
1619304343    76       76     5734         733219      0  60 0.0 590.0 75520.0 604160.0 154.3 154.3 
1619304344    76       76     6336         810275      0  60 0.0 601.4 76979.0 615832.2 153.9 153.9 
1619304345    89       89     7050         901641      0  70 13.0 714.0 91366.0 730928.0 166.4 166.4 
1619304346    89       89     7736         989449      0  70 0.0 686.0 87808.0 702464.0 172.1 172.1 
1619304347    89       89     8441        1079690      0  70 0.0 704.3 90150.8 721206.8 178.5 178.5 
1619304348   102      102     9255        1183856      0  80 13.0 814.0 104166.0 833328.0 188.7 188.7 
1619304349   102      102    10044        1284848      0  80 0.0 789.0 100992.0 807936.0 184.5 184.5 
1619304350   102      102    10846        1387504      0  80 0.0 802.0 102656.0 821248.0 188.1 188.1 
1619304351   115      115    11760        1504470      0  90 13.0 913.1 116849.2 934793.2 193.5 193.5 
1619304352   115      115    12648        1618134      0  90 0.0 888.0 113664.0 909312.0 216.1 216.1 
1619304353   115      115    13550        1733443      0  90 0.0 902.0 115309.0 922472.0 355.8 355.8 
1619304354   128      128    14562        1862953      0 100 13.0 1011.0 129380.6 1035045.0 205.1 205.1 
1619304355   128      128    15549        1989289      0 100 0.0 986.0 126209.8 1009678.3 218.7 218.7 
1619304356   128      128    16549        2117235      0 100 0.0 999.0 127818.2 1022545.5 264.8 264.8 
1619304357   128      128    17550        2245363      0 100 0.0 1000.0 128000.0 1024000.0 226.6 226.6 
1619304358   128      128    18549        2373235      0 100 0.0 998.0 127744.3 1021954.0 224.3 224.3 
1619304359   128      128    19548        2501107      0 100 0.0 998.0 127744.3 1021954.0 227.1 227.1 
1619304360   128      128    20547        2628979      0 100 0.0 998.0 127744.3 1021954.0 223.9 223.9 
1619304361   128      128    21548        2757107      0 100 0.0 1000.0 128000.0 1024000.0 232.6 232.6 
1619304362   128      128    22547        2884979      0 100 0.0 999.0 127872.0 1022976.0 236.3 236.3 
1619304363   128      128    23547        3012979      0 100 0.0 999.0 127872.1 1022977.0 224.8 224.8 
1619304364   128      128    24547        3140979      0 100 0.0 999.0 127872.1 1022977.0 253.6 253.6 
1619304365   128      128    25546        3268851      0 100 0.0 998.0 127744.3 1021954.0 246.0 246.0 
